"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016049","cell growth","119/3925","426/18842",0.279342723004695,1.34098741066356,3.65154411583006,0.00025344382816451,0.00319272673685577,0.00319272673685577,"MT3/INHBA/PLXNA3/KIF26A/SEMA7A/RIMS2/TEAD1/XBP1/SGK1/PRDM11/EDN3/PAK4/SEMA3A/RGS2/CRYAB/PAK1/CIB1/BCL6/HPN/PAK5/RGS4/EDN1/SPP1/NLGN3/EGFR/PPARA/SEMA3F/ACVRL1/IGF1/DCAF13/ERBB2/CAV3/ZC3H12D/LGI1/CDKN2A/FAM107A/WT1/SOX17/RTN4R/TMEM97/EGLN2/SH3GL2/CDHR2/SYT1/MEG3/CFL1/CTTN/CCN3/SYT17/IGFBP1/PAPPA2/SGK2/SLC44A4/IL17B/LIMK1/ESR2/EDN2/TRIM46/VIM/CISH/RGMA/MAG/KRT17/SEMA5A/GNG4/GJA1/KIF14/PRSS2/UCN/SFRP1/PRKN/ADIPOR1/KIAA0319/HBEGF/KAZALD1/GATA4/NRP1/BST2/CDH2/CYFIP2/LAMTOR2/AKAP6/NPR1/MYL2/LTBP4/CXCL12/NRG1/NRCAM/MFSD2A/SOCS2/OSTN/EXOSC4/RNF157/CDKN2D/SLIT2/DCUN1D3/PLXNA4/AVPR1A/CYP27B1/CDK5/AGT/CDKN2C/SCGB3A1/NPR2/FHL1/ROS1/MMP14/PTCH2/UNC13A/S100B/SEMA6D/SEMA3G/PSRC1/SLIT3/MSX1/IGFBPL1/HYAL1/NRN1/BDNF",119
"GO:0045685","regulation of glial cell differentiation","22/3925","51/18842",0.431372549019608,2.07080804296241,3.92783130172999,0.000264477917659031,0.00331720996070379,0.00331720996070379,"NOG/ZNF365/PTN/TTBK1/DUSP15/CXCR4/BMP2/MDK/NTRK3/IL6/IL34/CDK1/MAG/PTPRZ1/ZNF488/CLCN2/QKI/BIN1/DAAM2/EGR2/SERPINE2/EPHA4",22
"GO:0061035","regulation of cartilage development","22/3925","51/18842",0.431372549019608,2.07080804296241,3.92783130172999,0.000264477917659031,0.00331720996070379,0.00331720996070379,"LEP/ADAMTS12/NR5A2/ADAMTS7/ZBTB16/ACVRL1/MBOAT2/TRPS1/GDF5/BMP2/MDK/BMPR1B/SOX5/CCN4/EFEMP1/BMP6/SIX2/NKX3-2/SCX/PKDCC/GREM1/WNT11",22
"GO:0048661","positive regulation of smooth muscle cell proliferation","34/3925","92/18842",0.369565217391304,1.77410135696483,3.81787905866002,0.000268684150716819,0.00336264055581897,0.00336264055581897,"MIR221/TERT/XBP1/PRKCA/NR4A3/PAK1/FGF9/EDN1/DDR2/RGCC/PIK3R1/IGF1/P2RY6/MMP9/NPY5R/HPGD/CDH13/MYB/PDGFD/IL6/RBPMS2/JUN/GJA1/IL13/HBEGF/S1PR1/CX3CL1/IL18/EREG/ELANE/FGF2/ADAMTS1/CCN4/MIR27B",34
"GO:1901989","positive regulation of cell cycle phase transition","39/3925","110/18842",0.354545454545455,1.70199884192241,3.78766642427932,0.000271037402196583,0.003384733892507,0.003384733892507,"CDC25C/MIR221/CCND2/CCNE2/TERT/EZH2/CYP1A1/CDC6/UBE2C/DTL/EGFR/DDR2/MAPK15/PLK1/RGCC/CDC25B/ESPL1/CCNE1/TP63/CCND1/CDC7/CCNB1/STIL/BIRC5/CDC25A/DLGAP5/PKP3/SKA3/MBLAC1/CDK1/PTENP1-AS/KCNA5/SACK1D/CDC20/SKA1/ADAMTS1/PAGR1/RRM2/ANAPC11",39
"GO:0009582","detection of abiotic stimulus","42/3925","121/18842",0.347107438016529,1.66629257251145,3.77158757190256,0.000272967411693976,0.00340145755221259,0.00340145755221259,"SLC24A4/NPFFR2/ANO3/EYS/TACR1/HPN/EPHB1/PRCD/KCNA1/TRPA1/CAV3/RPE65/RP1/HTR2A/PTPRQ/REEP6/SCN9A/COL11A1/KIT/SCN11A/CABP1/PRDM12/TMC2/SAG/NMT2/TMC1/GNAT2/CDH2/TAC1/PIEZO2/CARTPT/TIMELESS/CXCL12/PKD1L2/RGR/RGS9BP/LHFPL5/SLC24A2/TTN/PECAM1/NTSR1/PKD2",42
"GO:0008202","steroid metabolic process","90/3925","308/18842",0.292207792207792,1.4027462982877,3.65555562533779,0.000277080309373464,0.00344525127659402,0.00344525127659402,"VLDLR/AKR1D1/EBP/CYP2C9/PCSK9/SULT4A1/NR5A2/SREBF1/CYP1A1/SQLE/APOA1/HSD17B6/CACNA1H/HMGCS2/BMP5/LCAT/APOB/HSD17B11/SPP1/APOBR/CYP2U1/UGT2B7/SERPINA6/CYP7A1/ACADL/DHCR7/AKR1C3/CES1/HSD11B1/CYP46A1/AMACR/HSD3B1/BMP2/FDXR/SRD5A2/AKR1C2/SULT1E1/SLC27A2/DISP3/CYP1A2/RDH16/CH25H/CYP21A2/AKR1C8/EGR1/HSD11B2/FGF1/DHRS9/SULT1C3/CYP8B1/CUBN/ADM/IFNG/CLCN2/AKR1B15/CGA/AKR1C1/QKI/UGT2B4/MIR27B/CYP3A43/CETP/ABCA1/DGAT2/PROX1/HSD17B7/CYP27B1/BMP6/FGFR4/AGT/RDH5/CYP11A1/CYP3A4/UGT2B28/PRLR/GPR146/APOF/UGT2B17/FAXDC2/HSD17B10/ANGPTL3/GBA1/ABCA5/EDNRB/HSD17B2/GAL/ABCB11/GNAI1/LIPE/SHH",90
"GO:1903531","negative regulation of secretion by cell","46/3925","136/18842",0.338235294117647,1.62370176095916,3.74444124096976,0.000282916931432032,0.00351024304796166,0.00351024304796166,"INHBA/STXBP6/LEP/NMB/CD200/CRY2/OPRK1/RAB11FIP3/PNKD/EDN1/EPHA5/RSAD2/ADRA2B/BMP8A/NPY5R/INHA/PDE1C/DRD2/SYT1/CCN3/F2R/ABAT/DRD4/IDH2/KCNB1/IL12B/KCNJ11/SNCA/KCNK9/GJA1/PDE8B/UCN/CBARP/PRKN/FRMD4A/FAM3D/ANXA1/CHGA/CARTPT/CRHBP/FOXO1/CDK5/IL11/ABCC8/HADH/FFAR4",46
"GO:0048511","rhythmic process","81/3925","272/18842",0.297794117647059,1.42956350693144,3.66047074182563,0.000284330668737643,0.00352019711811314,0.00352019711811314,"INHBA/GDF10/LEP/USP2/NMU/AMH/EZH2/NR5A2/CRY2/OPRK1/F7/SREBF1/PTN/GHRH/PER1/DTL/NFIL3/PPARA/IGF1/MAPK10/ID4/NTRK2/TYRO3/SERPINF1/RPE65/NPY5R/PPARG/KLF10/DRD2/MDK/KAT2B/TOP2A/SCN9A/NTRK3/BMPR1B/DRD4/LGR4/SLC6A4/MMP19/CDK1/EGR1/PER2/MAGED1/PCNA/PTGDS/SCN11A/CDK5R1/ROBO2/PDGFRA/TEF/ADRB1/PROK2/EREG/BHLHE41/PPP1CA/CA12/CARTPT/CGA/TIMELESS/EGR3/ID1/LHCGR/MSTN/PARP1/PROX1/SLIT2/NGFR/CDK5/HLF/NLGN1/NPR2/PIWIL2/KDM5B/ADORA2A/SLIT3/MYCBP2/PLN/SIAH2/KCNA2/KLF9/PROKR1",81
"GO:0071375","cellular response to peptide hormone stimulus","94/3925","325/18842",0.289230769230769,1.38845507104361,3.62349964358369,0.000303808460454526,0.00375277346302183,0.00375277346302183,"INHBA/GHR/LEP/PKM/MAS1/KANK1/KLF4/KLF15/PCSK9/MZB1/TSHR/ACTN2/XBP1/KLF5/SREBF1/GLP2R/MIR145/CDC6/PRKCA/CPEB1/NR4A3/HMGCS2/PAK1/RARRES2/PID1/CAV2/EDN1/PCK1/PLA2G2A/CA3/DDR2/GDF15/SLC27A4/PRKD1/PIK3R1/IGF1/BAIAP2/SRC/TNS2/IGF2/PPARG/KLF2/KAT2B/CCNA2/CRHR2/CFL1/GPER1/ADIPOQ/CPS1/IGFBP1/ADCY4/TRARG1/PRKAR2B/SIK2/STAT5B/FFAR3/KLF11/PDE3B/SLC22A12/FOS/GCK/ADIPOR1/CAMK2A/SORBS1/ADCY5/MGARP/STAT5A/ERFE/AKT3/ADCY8/CRHBP/GRB14/TRIB3/SLC2A4/LHCGR/FOXO1/ECHDC3/CAV1/KLF1/SOCS2/MSTN/RAB31/IRS4/PARP1/WNT1/AGT/CYP11A1/PDK4/RHOQ/NKX6-1/IRS2/FUT7/GPLD1/NR4A1",94
